Date,Open,High,Low,Close,Adj Close,Volume,Returns
2011-01-04,3189.679932,3189.679932,3189.679932,3189.679932,3189.679932,0,
2011-01-05,3175.659912,3175.659912,3175.659912,3175.659912,3175.659912,0,-0.004395431610346267
2011-01-06,3159.639893,3159.639893,3159.639893,3159.639893,3159.639893,0,-0.005044626768585807
2011-01-07,3166.6201170000004,3166.6201170000004,3166.6201170000004,3166.6201170000004,3166.6201170000004,0,0.002209183399495824
2011-01-10,3108.189941,3108.189941,3108.189941,3108.189941,3108.189941,0,-0.01845190576738836
2011-01-11,3124.919922,3124.919922,3124.919922,3124.919922,3124.919922,0,0.005382547822871277
2011-01-12,3142.340088,3142.340088,3142.340088,3142.340088,3142.340088,0,0.005574595968798678
2011-01-13,3141.280029,3141.280029,3141.280029,3141.280029,3141.280029,0,-0.0003373469994696227
2011-01-14,3091.860107,3091.860107,3091.860107,3091.860107,3091.860107,0,-0.015732415303239444
2011-01-17,2974.350098,2974.350098,2974.350098,2974.350098,2974.350098,0,-0.03800625026143852
2011-01-18,2977.649902,2977.649902,2977.649902,2977.649902,2977.649902,0,0.001109420172904011
2011-01-19,3044.850098,3044.850098,3044.850098,3044.850098,3044.850098,0,0.022568199154260338
2011-01-20,2944.709961,2944.709961,2944.709961,2944.709961,2944.709961,0,-0.03288836355713426
2011-01-21,2983.459961,2983.459961,2983.459961,2983.459961,2983.459961,0,0.013159190722756548
2011-01-24,2954.22998,2954.22998,2954.22998,2954.22998,2954.22998,0,-0.009797343145909895
2011-01-25,2938.649902,2938.649902,2938.649902,2938.649902,2938.649902,0,-0.005273820286665684
2011-01-26,2978.429932,2978.429932,2978.429932,2978.429932,2978.429932,0,0.01353683879557283
2011-01-27,3026.469971,3026.469971,3026.469971,3026.469971,3026.469971,0,0.016129316484454394
2011-01-28,3036.73999,3036.73999,3036.73999,3036.73999,3036.73999,0,0.0033933986123796393
2011-01-31,3076.51001,3076.51001,3076.51001,3076.51001,3076.51001,0,0.013096287509290492
2011-02-01,3077.280029,3077.280029,3077.280029,3077.280029,3077.280029,0,0.0002502897755889465
2011-02-09,3040.949951,3040.949951,3040.949951,3040.949951,3040.949951,0,-0.0118059057536619
2011-02-10,3104.159912,3104.159912,3104.159912,3104.159912,3104.159912,0,0.020786254959314198
2011-02-11,3120.959961,3120.959961,3120.959961,3120.959961,3120.959961,0,0.005412108098894856
2011-02-14,3219.139893,3219.139893,3219.139893,3219.139893,3219.139893,0,0.03145824785542643
2011-02-15,3217.669922,3217.669922,3217.669922,3217.669922,3217.669922,0,-0.00045663470643087916
2011-02-16,3248.530029,3248.530029,3248.530029,3248.530029,3248.530029,0,0.009590824338134199
2011-02-17,3245.909912,3245.909912,3245.909912,3245.909912,3245.909912,0,-0.0008065546498292617
2011-02-18,3211.8798829999996,3211.8798829999996,3211.8798829999996,3211.8798829999996,3211.8798829999996,0,-0.010483972113395015
2011-02-21,3257.909912,3257.909912,3257.909912,3257.909912,3257.909912,0,0.014331180080435303
2011-02-22,3163.580078,3163.580078,3163.580078,3163.580078,3163.580078,0,-0.028954095278249093
2011-02-23,3174.73999,3174.73999,3174.73999,3174.73999,3174.73999,0,0.0035276211522533418
2011-02-24,3190.939941,3190.939941,3190.939941,3190.939941,3190.939941,0,0.005102764651917229
2011-02-25,3197.6201170000004,3197.6201170000004,3197.6201170000004,3197.6201170000004,3197.6201170000004,0,0.0020934822101060352
2011-02-28,3239.560059,3239.560059,3239.560059,3239.560059,3239.560059,0,0.013115986410339285
2011-03-01,3254.889893,3254.889893,3254.889893,3254.889893,3254.889893,0,0.0047320727879118845
2011-03-02,3243.300049,3243.300049,3243.300049,3243.300049,3243.300049,0,-0.003560748406551424
2011-03-03,3221.719971,3221.719971,3221.719971,3221.719971,3221.719971,0,-0.006653740842341645
2011-03-04,3270.669922,3270.669922,3270.669922,3270.669922,3270.669922,0,0.015193732366753875
2011-03-07,3334.51001,3334.51001,3334.51001,3334.51001,3334.51001,0,0.019518963858316217
2011-03-08,3337.459961,3337.459961,3337.459961,3337.459961,3337.459961,0,0.0008846730077742533
2011-03-09,3338.860107,3338.860107,3338.860107,3338.860107,3338.860107,0,0.0004195244336595503
2011-03-10,3280.26001,3280.26001,3280.26001,3280.26001,3280.26001,0,-0.01755092909617372
2011-03-11,3247.3798829999996,3247.3798829999996,3247.3798829999996,3247.3798829999996,3247.3798829999996,0,-0.010023634376471382
2011-03-14,3262.919922,3262.919922,3262.919922,3262.919922,3262.919922,0,0.004785408409207798
2011-03-15,3203.959961,3203.959961,3203.959961,3203.959961,3203.959961,0,-0.018069692915988155
2011-03-16,3248.199951,3248.199951,3248.199951,3248.199951,3248.199951,0,0.013807909754962145
2011-03-17,3197.100098,3197.100098,3197.100098,3197.100098,3197.100098,0,-0.015731744895897935
2011-03-18,3215.689941,3215.689941,3215.689941,3215.689941,3215.689941,0,0.005814595236361036
2011-03-21,3207.110107,3207.110107,3207.110107,3207.110107,3207.110107,0,-0.0026681160675994784
2011-03-22,3222.959961,3222.959961,3222.959961,3222.959961,3222.959961,0,0.004942098484677954
2011-03-23,3264.929932,3264.929932,3264.929932,3264.929932,3264.929932,0,0.013022181940782722
2011-03-24,3251.360107,3251.360107,3251.360107,3251.360107,3251.360107,0,-0.004156237739438274
2011-03-25,3294.47998,3294.47998,3294.47998,3294.47998,3294.47998,0,0.013262103114067671
2011-03-28,3290.570068,3290.570068,3290.570068,3290.570068,3290.570068,0,-0.001186807029860924
2011-03-29,3257.97998,3257.97998,3257.97998,3257.97998,3257.97998,0,-0.009904085713576096
2011-03-30,3256.080078,3256.080078,3256.080078,3256.080078,3256.080078,0,-0.0005831533685483576
2011-03-31,3223.290039,3223.290039,3223.290039,3223.290039,3223.290039,0,-0.010070403127229226
2011-04-01,3272.72998,3272.72998,3272.72998,3272.72998,3272.72998,0,0.015338346969029953
2011-04-06,3311.070068,3311.070068,3311.070068,3311.070068,3311.070068,0,0.011715017197966306
2011-04-07,3324.419922,3324.419922,3324.419922,3324.419922,3324.419922,0,0.0040318850781867685
2011-04-08,3353.360107,3353.360107,3353.360107,3353.360107,3353.360107,0,0.008705333766195596
2011-04-11,3333.429932,3333.429932,3333.429932,3333.429932,3333.429932,0,-0.005943344694295298
2011-04-12,3326.77002,3326.77002,3326.77002,3326.77002,3326.77002,0,-0.0019979157012021682
2011-04-13,3372.030029,3372.030029,3372.030029,3372.030029,3372.030029,0,0.013604790450768846
2011-04-14,3353.560059,3353.560059,3353.560059,3353.560059,3353.560059,0,-0.005477403771957958
2011-04-15,3358.9399409999996,3358.9399409999996,3358.9399409999996,3358.9399409999996,3358.9399409999996,0,0.0016042301033379898
2011-04-18,3358.889893,3358.889893,3358.889893,3358.889893,3358.889893,0,-1.4899938932729481e-05
2011-04-19,3295.810059,3295.810059,3295.810059,3295.810059,3295.810059,0,-0.01877996481261856
2011-04-20,3295.76001,3295.76001,3295.76001,3295.76001,3295.76001,0,-1.5185644531690683e-05
2011-04-21,3317.3701170000004,3317.3701170000004,3317.3701170000004,3317.3701170000004,3317.3701170000004,0,0.006556941929761574
2011-04-22,3299.939941,3299.939941,3299.939941,3299.939941,3299.939941,0,-0.0052542150514585766
2011-04-25,3249.570068,3249.570068,3249.570068,3249.570068,3249.570068,0,-0.015263875676699807
2011-04-26,3230.959961,3230.959961,3230.959961,3230.959961,3230.959961,0,-0.005726944368198794
2011-04-27,3209.5,3209.5,3209.5,3209.5,3209.5,0,-0.006641976768216603
2011-04-28,3161.780029,3161.780029,3161.780029,3161.780029,3161.780029,0,-0.014868350521888141
2011-04-29,3192.719971,3192.719971,3192.719971,3192.719971,3192.719971,0,0.009785608649626895
2011-05-03,3211.1298829999996,3211.1298829999996,3211.1298829999996,3211.1298829999996,3211.1298829999996,0,0.00576621569295769
2011-05-04,3129.030029,3129.030029,3129.030029,3129.030029,3129.030029,0,-0.02556727911712427
2011-05-05,3126.1201170000004,3126.1201170000004,3126.1201170000004,3126.1201170000004,3126.1201170000004,0,-0.0009299725387837183
2011-05-06,3121.399902,3121.399902,3121.399902,3121.399902,3121.399902,0,-0.0015099275854217856
2011-05-09,3129.76001,3129.76001,3129.76001,3129.76001,3129.76001,0,0.002678320068711226
2011-05-10,3153.219971,3153.219971,3153.219971,3153.219971,3153.219971,0,0.00749576993924209
