,Time,Portfolio Values,Profit&Loss,Drawdowns,Returns
0,20,10000000,-10000100.0,14031229.353,0
1,40,10000000.0,-2488.67270361,14031229.353,0.0
2,60,9934348.29112,-74481.2773562,14096881.0619,-0.00656517088824
3,80,10392724.1104,454939.976893,13638505.2426,0.0461405022088
4,100,11655078.7009,1254249.54071,12376150.6521,0.121465226741
5,120,14381093.4134,2713754.11056,9650135.93962,0.233890716865
6,140,17681931.1155,3282075.12884,6349298.23753,0.229526198545
7,160,22163186.4214,4471197.83161,1868042.93157,0.253436984722
8,180,24031229.353,1860030.23762,0.0,0.0842858466307
